Player Name,Number,Odds,Projection,Avg,Home/Away Avg,Home/Away,Date,Stat Category,Team
ha-seong-kim,0.0,O 600 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,TB
gavin-lux,0.0,O 520 | U 0,1,1,1,HOME,"""07-25""",Home Runs,CIN
jordan-walker,0.0,O 650 | U 0,1,1,1,HOME,"""07-25""",Home Runs,STL
otto-lopez,0.0,O 680 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,MIA
royce-lewis,0.0,O 480 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIN
nick-castellanos,0.0,O 500 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,PHI
ben-rice,0.0,O 265 | U 0,1,1,1,HOME,"""07-25""",Home Runs,NYY
ceddanne-rafaela,0.0,O 525 | U 0,1,1,1,HOME,"""07-25""",Home Runs,BOS
josh-jung-3b,0.0,O 480 | U 0,1,1,1,HOME,"""07-25""",Home Runs,TEX
matt-chapman,0.0,O 475 | U 0,1,1,1,HOME,"""07-25""",Home Runs,SF
peter-alonso,0.0,O 425 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,NYM
ian-happ,0.0,O 450 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,CHC
vinnie-pasquantino,0.0,O 600 | U 0,1,1,1,HOME,"""07-25""",Home Runs,KC
gleyber-torres,0.0,O 600 | U 0,1,1,1,HOME,"""07-25""",Home Runs,DET
zach-neto,0.0,O 450 | U 0,1,1,1,HOME,"""07-25""",Home Runs,LAA
nolan-schanuel,0.0,O 600 | U 0,1,1,1,HOME,"""07-25""",Home Runs,LAA
brent-rooker,0.0,O 340 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ATH
teoscar-hernandez,0.0,O 550 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,LAD
jose-ramirez,0.0,O 475 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,CLE
ivan-herrera,0.0,O 550 | U 0,1,1,1,HOME,"""07-25""",Home Runs,STL
jackson-merrill,0.0,O 525 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,SD
christian-yelich,0.0,O 500 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIL
vladimir-guerrero-jr,0.0,O 475 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,TOR
joey-loperfido,0.0,O 870 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,TOR
randy-arozarena,0.0,O 475 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,SEA
cj-abrams,0.0,O 470 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,WSH
austin-wells,0.0,O 300 | U 0,1,1,1,HOME,"""07-25""",Home Runs,NYY
dansby-swanson,0.0,O 630 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,CHC
jonathan-aranda,0.0,O 310 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,TB
masyn-winn-p,0.0,O 800 | U 0,1,1,1,HOME,"""07-25""",Home Runs,STL
lourdes-gurriel-jr,0.0,O 700 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ARI
nathan-lukes,0.0,O 750 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,TOR
riley-greene-of,0.0,O 400 | U 0,1,1,1,HOME,"""07-25""",Home Runs,DET
jorge-polanco,0.0,O 500 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,SEA
logan-ohoppe,0.0,O 425 | U 0,1,1,1,HOME,"""07-25""",Home Runs,LAA
shea-langeliers,0.0,O 350 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ATH
nathaniel-lowe,0.0,O 525 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,WSH
cody-bellinger,0.0,O 325 | U 0,1,1,1,HOME,"""07-25""",Home Runs,NYY
trevor-story,0.0,O 400 | U 0,1,1,1,HOME,"""07-25""",Home Runs,BOS
drake-baldwin,0.0,O 540 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ATL
juan-soto,0.0,O 520 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,NYM
miguel-vargas,0.0,O 425 | U 0,1,1,1,HOME,"""07-25""",Home Runs,CWS
oneil-cruz-3b,0.0,O 320 | U 0,1,1,1,HOME,"""07-25""",Home Runs,PIT
dillon-dingler,0.0,O 630 | U 0,1,1,1,HOME,"""07-25""",Home Runs,DET
taylor-ward,0.0,O 440 | U 0,1,1,1,HOME,"""07-25""",Home Runs,LAA
dominic-canzone,0.0,O 600 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,SEA
brice-matthews,0.0,O 520 | U 0,1,1,1,HOME,"""07-25""",Home Runs,HOU
will-smith-c,0.0,O 450 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,LAD
yandy-diaz,0.0,O 390 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,TB
manny-machado,0.0,O 350 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,SD
william-contreras,0.0,O 450 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIL
george-springer,0.0,O 420 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,TOR
jo-adell,0.0,O 390 | U 0,1,1,1,HOME,"""07-25""",Home Runs,LAA
andy-pages,0.0,O 520 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,LAD
matt-olson,0.0,O 333 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ATL
terry-friedl,0.0,O 475 | U 0,1,1,1,HOME,"""07-25""",Home Runs,CIN
nolan-arenado,0.0,O 600 | U 0,1,1,1,HOME,"""07-25""",Home Runs,STL
willson-contreras,0.0,O 400 | U 0,1,1,1,HOME,"""07-25""",Home Runs,STL
kyle-stowers,0.0,O 360 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,MIA
cam-smith,0.0,O 500 | U 0,1,1,1,HOME,"""07-25""",Home Runs,HOU
josh-bell,0.0,O 400 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,WSH
pete-crow-armstrong,0.0,O 360 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,CHC
gavin-sheets,0.0,O 500 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,SD
trent-grisham,0.0,O 300 | U 0,1,1,1,HOME,"""07-25""",Home Runs,NYY
sean-murphy,0.0,O 540 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ATL
carson-kelly,0.0,O 600 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,CHC
bobby-witt-jr,0.0,O 450 | U 0,1,1,1,HOME,"""07-25""",Home Runs,KC
mike-trout,0.0,O 275 | U 0,1,1,1,HOME,"""07-25""",Home Runs,LAA
bryce-harper,0.0,O 240 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,PHI
alex-bregman,0.0,O 325 | U 0,1,1,1,HOME,"""07-25""",Home Runs,BOS
wilyer-abreu,0.0,O 350 | U 0,1,1,1,HOME,"""07-25""",Home Runs,BOS
austin-slater,0.0,O 500 | U 0,1,1,1,HOME,"""07-25""",Home Runs,CWS
michael-busch-2b,0.0,O 320 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,CHC
tyler-stephenson,0.0,O 400 | U 0,1,1,1,HOME,"""07-25""",Home Runs,CIN
andrew-vaughn-1b,0.0,O 480 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIL
christian-walker,0.0,O 350 | U 0,1,1,1,HOME,"""07-25""",Home Runs,HOU
lawrence-butler,0.0,O 430 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ATH
jasrado-chisholm,0.0,O 265 | U 0,1,1,1,HOME,"""07-25""",Home Runs,NYY
jackson-chourio,0.0,O 420 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIL
byron-buxton,0.0,O 290 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIN
james-wood,0.0,O 340 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,WSH
fernando-tatis-jr,0.0,O 350 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,SD
agustin-ramirez,0.0,O 425 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,MIA
victor-caratini,0.0,O 475 | U 0,1,1,1,HOME,"""07-25""",Home Runs,HOU
ronald-acuna,0.0,O 350 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ATL
spencer-steer,0.0,O 500 | U 0,1,1,1,HOME,"""07-25""",Home Runs,CIN
yoan-moncada,0.0,O 380 | U 0,1,1,1,HOME,"""07-25""",Home Runs,LAA
salvador-perez,0.0,O 460 | U 0,1,1,1,HOME,"""07-25""",Home Runs,KC
shohei-ohtani,0.0,O 220 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,LAD
seiya-suzuki,0.0,O 390 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,CHC
matt-mclain,0.0,O 380 | U 0,1,1,1,HOME,"""07-25""",Home Runs,CIN
mckenzie-moniak,0.0,O 320 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,COL
jose-altuve,0.0,O 470 | U 0,1,1,1,HOME,"""07-25""",Home Runs,HOU
spencer-torkelson-if,0.0,O 430 | U 0,1,1,1,HOME,"""07-25""",Home Runs,DET
yainer-diaz-c,0.0,O 390 | U 0,1,1,1,HOME,"""07-25""",Home Runs,HOU
orlando-arcia,0.5,O 1000 | U -2500,1,1,1,AWAY,"""07-25""",Home Runs,COL
miguel-rojas,0.5,O 830 | U -2899,1,1,1,AWAY,"""07-25""",Home Runs,LAD
cody-freeman,0.5,O 650 | U -1200,1,1,1,HOME,"""07-25""",Home Runs,TEX
jose-iglesias,0.5,O 1200 | U -10000,1,1,1,AWAY,"""07-25""",Home Runs,SD
ben-williamson,0.5,O 1100 | U -5000,1,1,1,AWAY,"""07-25""",Home Runs,SEA
jacob-young,0.5,O 1700 | U -8000,1,1,1,AWAY,"""07-25""",Home Runs,WSH
josh-smith-ss,0.5,O 1000 | U -2801,1,1,1,HOME,"""07-25""",Home Runs,TEX
nick-allen-ss,0.5,O 2200 | U -10000,1,1,1,AWAY,"""07-25""",Home Runs,ATL
elias-diaz,0.5,O 850 | U -1401,1,1,1,AWAY,"""07-25""",Home Runs,SD
trenton-brooks,0.5,O 550 | U -1200,1,1,1,AWAY,"""07-25""",Home Runs,SD
isiah-kiner-falefa,0.5,O 1400 | U -10000,1,1,1,HOME,"""07-25""",Home Runs,PIT
alex-jackson,0.5,O 550 | U -1200,1,1,1,HOME,"""07-25""",Home Runs,BAL
christian-vazquez,0.5,O 850 | U -2000,1,1,1,HOME,"""07-25""",Home Runs,MIN
james-outman,0.5,O 830 | U -833,1,1,1,AWAY,"""07-25""",Home Runs,LAD
hyeseong-kim,0.5,O 1100 | U -5000,1,1,1,AWAY,"""07-25""",Home Runs,LAD
luis-torrens,0.5,O 1100 | U -3497,1,1,1,AWAY,"""07-25""",Home Runs,NYM
nico-hoerner,0.5,O 1300 | U -5000,1,1,1,AWAY,"""07-25""",Home Runs,CHC
brayan-rocchio,0.5,O 1200 | U -5000,1,1,1,AWAY,"""07-25""",Home Runs,CLE
freddy-fermin,0.5,O 900 | U -2198,1,1,1,HOME,"""07-25""",Home Runs,KC
michael-helman,0.5,O 800 | U -1401,1,1,1,HOME,"""07-25""",Home Runs,TEX
ezequiel-duran,0.5,O 800 | U -1600,1,1,1,HOME,"""07-25""",Home Runs,TEX
patrick-bailey,0.5,O 1100 | U -3003,1,1,1,HOME,"""07-25""",Home Runs,SF
adam-frazier,0.5,O 1200 | U -4000,1,1,1,HOME,"""07-25""",Home Runs,KC
kyle-isbel,0.5,O 1500 | U -10000,1,1,1,HOME,"""07-25""",Home Runs,KC
jose-caballero,0.5,O 700 | U -2000,1,1,1,AWAY,"""07-25""",Home Runs,TB
victor-scott,0.5,O 1000 | U -2198,1,1,1,HOME,"""07-25""",Home Runs,STL
jose-herrera,0.5,O 1500 | U -10000,1,1,1,AWAY,"""07-25""",Home Runs,ARI
parker-meadows,0.5,O 800 | U -2500,1,1,1,HOME,"""07-25""",Home Runs,DET
coby-mayo,0.5,O 525 | U -1000,1,1,1,HOME,"""07-25""",Home Runs,BAL
adael-amador,0.5,O 700 | U -2000,1,1,1,AWAY,"""07-25""",Home Runs,COL
brooks-lee,0.5,O 850 | U -2000,1,1,1,HOME,"""07-25""",Home Runs,MIN
masataka-yoshida,0.5,O 650 | U -1667,1,1,1,HOME,"""07-25""",Home Runs,BOS
taylor-walls,0.5,O 700 | U -1401,1,1,1,AWAY,"""07-25""",Home Runs,TB
tommy-pham,0.5,O 800 | U -1401,1,1,1,HOME,"""07-25""",Home Runs,PIT
ernie-clement,0.5,O 1000 | U -3003,1,1,1,AWAY,"""07-25""",Home Runs,TOR
jacob-stallings,0.5,O 850 | U -1401,1,1,1,HOME,"""07-25""",Home Runs,BAL
brenton-doyle,0.5,O 500 | U -780,1,1,1,AWAY,"""07-25""",Home Runs,COL
oswald-peraza,0.5,O 680 | U -1100,1,1,1,HOME,"""07-25""",Home Runs,NYY
thomas-edman,0.5,O 1050 | U -2500,1,1,1,AWAY,"""07-25""",Home Runs,LAD
dominic-smith,0.5,O 900 | U -2500,1,1,1,HOME,"""07-25""",Home Runs,SF
henry-davis,0.5,O 800 | U -1600,1,1,1,HOME,"""07-25""",Home Runs,PIT
yanquiel-fernandez,0.5,O 600 | U -1401,1,1,1,AWAY,"""07-25""",Home Runs,COL
lamonte-wade,0.5,O 550 | U -950,1,1,1,HOME,"""07-25""",Home Runs,LAA
cole-young,0.5,O 1100 | U -3003,1,1,1,AWAY,"""07-25""",Home Runs,SEA
luis-urias,0.5,O 650 | U -1100,1,1,1,AWAY,"""07-25""",Home Runs,ATH
francisco-alvarez,0.5,O 900 | U -2000,1,1,1,AWAY,"""07-25""",Home Runs,NYM
matt-shaw,0.5,O 1000 | U -2198,1,1,1,AWAY,"""07-25""",Home Runs,CHC
tristin-english,0.5,O 800 | U -1600,1,1,1,AWAY,"""07-25""",Home Runs,ARI
will-wagner,0.5,O 1000 | U -3003,1,1,1,AWAY,"""07-25""",Home Runs,TOR
luis-rengifo,0.5,O 800 | U -2000,1,1,1,HOME,"""07-25""",Home Runs,LAA
colby-thomas,0.5,O 650 | U -1100,1,1,1,AWAY,"""07-25""",Home Runs,ATH
paul-goldschmidt,0.5,O 540 | U -588,1,1,1,HOME,"""07-25""",Home Runs,NYY
kyle-higashioka,0.5,O 450 | U -650,1,1,1,HOME,"""07-25""",Home Runs,TEX
michael-harris,0.5,O 550 | U -1100,1,1,1,AWAY,"""07-25""",Home Runs,ATL
ronny-mauricio-ss,0.5,O 850 | U -1401,1,1,1,AWAY,"""07-25""",Home Runs,NYM
casey-schmitt,0.5,O 800 | U -1401,1,1,1,HOME,"""07-25""",Home Runs,SF
cedric-mullins,0.5,O 520 | U -800,1,1,1,HOME,"""07-25""",Home Runs,BAL
abraham-toro,0.5,O 700 | U -1100,1,1,1,HOME,"""07-25""",Home Runs,BOS
carlos-narvaez,0.5,O 500 | U -650,1,1,1,HOME,"""07-25""",Home Runs,BOS
bo-naylor,0.5,O 600 | U -950,1,1,1,AWAY,"""07-25""",Home Runs,CLE
colton-cowser,0.5,O 500 | U -750,1,1,1,HOME,"""07-25""",Home Runs,BAL
zachary-short,0.5,O 750 | U -1401,1,1,1,HOME,"""07-25""",Home Runs,HOU
bryson-stott-ss,0.5,O 630 | U -1100,1,1,1,AWAY,"""07-25""",Home Runs,PHI
jorge-soler,0.5,O 600 | U -1401,1,1,1,HOME,"""07-25""",Home Runs,LAA
martin-maldonado,0.5,O 900 | U -2000,1,1,1,AWAY,"""07-25""",Home Runs,SD
mauricio-dubon,0.5,O 870 | U -1600,1,1,1,HOME,"""07-25""",Home Runs,HOU
jasson-dominguez,0.5,O 500 | U -900,1,1,1,HOME,"""07-25""",Home Runs,NYY
marcelo-mayer,0.5,O 525 | U -1200,1,1,1,HOME,"""07-25""",Home Runs,BOS
andrew-benintendi,0.5,O 525 | U -1200,1,1,1,HOME,"""07-25""",Home Runs,CWS
cooper-hummel,0.5,O 700 | U -1600,1,1,1,HOME,"""07-25""",Home Runs,HOU
riley-adams,0.5,O 700 | U -1100,1,1,1,AWAY,"""07-25""",Home Runs,WSH
mike-toglia,0.5,O 425 | U -600,1,1,1,AWAY,"""07-25""",Home Runs,COL
danny-jansen,0.5,O 440 | U -700,1,1,1,AWAY,"""07-25""",Home Runs,TB
max-kepler,0.5,O 390 | U -525,1,1,1,AWAY,"""07-25""",Home Runs,PHI
pedro-pages,0.5,O 750 | U -1200,1,1,1,HOME,"""07-25""",Home Runs,STL
anthony-volpe,0.5,O 560 | U -900,1,1,1,HOME,"""07-25""",Home Runs,NYY
kyle-tucker,0.5,O 400 | U -700,1,1,1,AWAY,"""07-25""",Home Runs,CHC
adrian-del-castillo,0.5,O 550 | U -800,1,1,1,AWAY,"""07-25""",Home Runs,ARI
michael-taylor,0.5,O 600 | U -1100,1,1,1,HOME,"""07-25""",Home Runs,CWS
javier-baez,0.5,O 630 | U -1200,1,1,1,HOME,"""07-25""",Home Runs,DET
will-benson,0.5,O 500 | U -900,1,1,1,HOME,"""07-25""",Home Runs,CIN
josh-naylor,0.5,O 450 | U -850,1,1,1,AWAY,"""07-25""",Home Runs,SEA
jake-fraley,0.5,O 550 | U -1000,1,1,1,HOME,"""07-25""",Home Runs,CIN
noelvi-marte,0.5,O 500 | U -750,1,1,1,HOME,"""07-25""",Home Runs,CIN
